,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
0,Precious Achiuwa,Tor,F,22.53,67,23.7,49.3,18.3,11.1,115,0.591,420,0.464,133,0.361,0.483,0.499,9.0,6.8,15.5,1.1,7.0,0.51,0.57,1.12,6.9,105.6,103.5
1,Steven Adams,Mem,C,28.7,73,26.4,54.9,12.1,19.1,193,0.554,375,0.549,1,0.0,0.548,0.563,7.1,10.0,19.7,3.3,15.6,0.88,0.79,1.49,9.3,125.2,103.8
2,Bam Adebayo,Mia,C-F,24.7,52,32.7,68.1,25.1,14.6,310,0.755,678,0.558,6,0.0,0.553,0.603,19.0,10.3,17.7,3.4,17.8,1.48,0.83,2.69,10.7,116.3,97.4
3,Santi Aldama,Mem,F-C,21.22,29,10.3,21.4,16.6,9.1,20,0.6,60,0.567,41,0.098,0.396,0.419,3.2,2.3,11.7,0.5,6.5,0.07,0.31,0.38,6.0,96.6,104.6
4,LaMarcus Aldridge,Bro,C-F,36.7,45,22.8,47.6,22.7,7.8,102,0.873,410,0.58,45,0.311,0.569,0.607,13.5,5.6,13.4,0.9,6.4,0.31,1.02,0.93,7.2,120.2,109.0
5,Nickeil Alexander-Walker,Nor,G,23.58,50,26.3,54.9,24.8,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.9,2.8,16.2,0.82,0.38,1.7,7.5,96.9,109.7
6,Nickeil Alexander-Walker,Uta,G,23.58,13,9.9,20.7,18.2,14.9,11,0.909,14,0.357,27,0.259,0.378,0.447,3.2,1.5,8.5,1.0,13.4,0.31,0.31,0.62,6.8,93.6,103.0
7,Grayson Allen,Mil,G,26.48,64,27.5,57.2,15.3,6.7,70,0.857,175,0.526,382,0.408,0.585,0.606,11.1,3.4,6.5,1.5,7.6,0.7,0.25,0.66,5.6,121.0,109.9
8,Jarrett Allen,Cle,C,23.95,56,32.3,67.3,18.1,12.7,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,18.3,1.6,8.2,0.77,1.34,1.68,8.1,132.7,104.2
9,Jose Alvarado,Nor,G,23.97,48,15.3,32.0,18.4,11.1,44,0.727,161,0.522,99,0.313,0.502,0.524,6.1,1.9,6.7,2.7,26.3,1.31,0.15,0.73,8.2,114.0,103.2
10,Justin Anderson,Cle,F-G,28.37,3,15.5,32.4,11.1,17.0,4,0.75,2,1.0,6,0.333,0.625,0.666,4.3,2.0,7.1,2.0,17.5,0.33,0.0,0.67,6.7,126.3,103.8
11,Justin Anderson,Ind,F-G,28.37,10,23.3,48.6,16.0,6.9,14,0.786,30,0.6,45,0.267,0.48,0.511,8.3,3.8,9.0,2.4,14.3,0.7,0.3,0.6,7.3,112.0,111.8
12,Kyle Anderson,Mem,F-G,28.53,64,21.4,44.6,16.1,11.5,97,0.629,334,0.473,100,0.32,0.475,0.496,7.4,5.3,12.9,2.6,15.8,1.13,0.64,0.97,8.7,108.8,103.1
13,Giannis Antetokounmpo,Mil,F,27.32,63,32.9,68.6,35.1,12.3,730,0.723,943,0.616,230,0.3,0.584,0.635,30.1,11.7,18.7,5.8,32.2,1.05,1.43,3.32,15.4,124.1,99.6
14,Thanasis Antetokounmpo,Mil,F,29.7,44,9.0,18.8,14.5,14.8,34,0.618,89,0.562,11,0.091,0.515,0.539,2.8,2.1,12.5,0.4,6.5,0.32,0.2,0.45,5.9,112.0,97.3
15,Carmelo Anthony,Lal,F,37.84,67,26.0,54.2,20.3,7.1,157,0.828,311,0.521,384,0.38,0.548,0.584,13.3,4.2,8.6,1.0,5.4,0.67,0.76,0.87,5.9,114.8,108.1
16,Cole Anthony,Orl,G,21.88,63,32.2,67.1,25.1,14.1,252,0.853,514,0.434,387,0.339,0.466,0.521,16.7,5.5,9.0,5.8,29.2,0.73,0.27,2.63,10.1,103.6,107.3
17,OG Anunoby,Tor,F,24.71,46,36.3,75.5,20.7,9.4,111,0.748,373,0.507,307,0.368,0.527,0.549,17.4,5.4,8.1,2.6,10.9,1.48,0.54,1.65,6.9,112.3,106.7
18,Ryan Arcidiacono,Nyk,G,28.02,6,2.8,5.9,7.7,0.0,0,0.0,1,0.0,2,1.0,1.0,1.0,1.0,0.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,
19,Trevor Ariza,Lal,F,36.75,24,19.3,40.1,11.0,9.3,18,0.556,25,0.52,74,0.27,0.434,0.449,4.0,3.4,9.5,1.1,7.5,0.5,0.25,0.46,5.1,97.4,112.6
20,D.J. Augustin,Hou,G,34.39,34,15.0,31.2,16.5,22.8,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,4.4,2.2,20.6,0.29,0.0,1.32,6.5,106.9,119.2
21,D.J. Augustin,Lal,G,34.39,15,17.4,36.2,11.5,10.1,1,1.0,13,0.692,49,0.531,0.774,0.777,6.5,1.5,4.5,1.5,12.3,0.33,0.0,0.47,5.6,142.9,115.6
22,Deni Avdija,Was,F,21.24,76,23.8,49.6,15.8,11.3,131,0.763,285,0.519,228,0.316,0.499,0.536,8.1,5.2,12.1,1.9,11.1,0.74,0.54,0.96,7.2,107.2,105.0
23,Joel Ayayi,Was,G,22.07,7,2.9,6.0,13.2,0.0,0,0.0,5,0.2,1,0.0,0.167,0.167,0.3,0.4,8.2,0.6,25.3,0.0,0.0,0.0,5.7,,
24,Deandre Ayton,Pho,C,23.69,55,29.6,61.6,21.4,10.8,137,0.752,640,0.645,17,0.353,0.642,0.66,17.2,10.1,18.5,1.4,7.3,0.71,0.67,1.58,8.4,125.0,99.7
25,Udoka Azubuike,Uta,C-F,22.54,17,11.5,23.9,14.8,18.2,11,0.545,49,0.755,0,0.0,0.755,0.743,4.7,4.2,20.0,0.0,0.0,0.06,0.65,0.71,0.0,125.0,98.1
26,Marvin Bagley III,Sac,F,23.05,30,21.9,45.6,18.8,7.3,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,17.7,0.6,3.9,0.3,0.37,0.7,6.3,111.0,109.1
27,Marvin Bagley III,Det,F,23.05,18,27.2,56.7,21.2,7.4,54,0.593,165,0.624,35,0.229,0.575,0.585,14.6,6.8,13.6,1.1,6.9,0.72,0.39,1.0,7.0,115.7,107.4
